City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,buka,40.8108,69.1986,14.63,39,10,2.69,UZ,1682004356
230,tekeli,44.83,78.8239,1.11,73,100,1.48,KZ,1682004356
231,badger,64.8,-147.5333,-5.07,77,0,2.57,US,1682004356
232,huarmey,-10.0681,-78.1522,25.11,78,91,3.65,PE,1682004357
233,lautoka,-17.6167,177.4667,23.92,94,20,2.06,FJ,1682004357
234,baker city,44.7749,-117.8344,-0.23,90,0,0.0,US,1682004059
235,college,64.8569,-147.8028,-5.03,73,20,2.57,US,1682004302
236,angaur state,6.906,134.13,28.71,77,20,4.15,PW,1682004258
237,bamyan,34.75,67.25,3.83,40,19,4.64,AF,1682004358
238,sisimiut,66.9395,-53.6735,-1.76,64,87,1.79,GL,1682004358
239,nurmes,63.5421,29.1397,3.34,100,100,2.42,FI,1682004359
240,pagar alam,-4.0167,103.2667,21.1,98,100,1.1,ID,1682004359
241,beli,7.8587,10.9719,36.95,36,65,3.15,NG,1682004359
242,kruisfontein,-34.0033,24.7314,17.71,73,60,16.21,ZA,1682004359
243,karmaskaly,54.3709,56.1837,11.95,53,84,2.44,RU,1682004360
244,jayapura,-2.5333,140.7,23.66,87,99,0.91,ID,1682004360
245,fagaras,45.85,24.9667,12.68,67,80,2.27,RO,1682004360
246,uturoa,-16.7333,-151.4333,27.78,80,100,6.8,PF,1682004361
247,nuku'alofa,-21.1333,-175.2,25.19,83,40,5.14,TO,1682004362
248,dimbokro,6.6451,-4.7048,36.38,37,57,2.61,CI,1682004362
249,longonjo,-12.9067,15.2533,22.66,74,100,1.38,AO,1682004362
250,yei,4.095,30.6779,31.03,42,100,1.55,SS,1682004363
251,rawah,34.4816,41.9093,23.81,47,12,13.72,IQ,1682004363
252,mandal,25.45,74.5667,31.14,17,95,6.2,IN,1682004363
253,mana,5.6592,-53.7767,27.6,80,96,4.23,GF,1682004364
254,ligny-en-barrois,48.6886,5.3254,20.3,90,100,4.36,FR,1682004364
255,santo anastacio,-21.8383,-51.6103,23.2,61,1,2.79,BR,1682004364
256,coquimbo,-29.9533,-71.3436,15.85,82,100,2.57,CL,1682004365
257,san martin,-33.081,-68.4681,20.3,28,6,6.21,AR,1682004365
258,den burg,53.0542,4.7972,12.19,71,40,9.77,NL,1682004365
259,la passe,45.5549,-0.8967,19.13,54,99,7.06,FR,1682004365
260,suntar,62.1444,117.6319,-10.77,93,71,1.98,RU,1682004366
261,touros,-5.1989,-35.4608,30.49,60,92,5.37,BR,1682004155
262,hammerfest,70.6634,23.6821,4.25,100,75,12.86,NO,1682004366
263,howard springs,-12.497,131.047,25.95,93,93,2.4,AU,1682004366
264,livingston,55.9029,-3.5226,14.21,65,0,7.2,GB,1682004276
265,belyy yar,53.6039,91.3903,-2.06,59,0,4.0,RU,1682004367
266,woodward,36.4337,-99.3904,13.87,34,0,7.2,US,1682004367
267,tura,25.5198,90.2201,27.82,39,0,4.38,IN,1682004368
268,jaicos,-7.3592,-41.1378,37.0,32,96,0.97,BR,1682004368
269,mando,10.7167,6.5667,40.69,13,15,2.08,NG,1682004368
270,ayorou,14.7308,0.9174,42.27,4,36,2.36,NE,1682004368
271,port alfred,-33.5906,26.891,20.1,72,100,4.92,ZA,1682004369
272,bani suwayf,29.0744,31.0979,26.98,17,0,6.95,EG,1682004369
273,midelt,32.6852,-4.7451,19.33,36,32,7.07,MA,1682004369
274,kimbe,-5.5502,150.1429,24.45,92,100,1.26,PG,1682004369
275,carnarvon,-24.8667,113.6333,24.18,44,47,4.45,AU,1682004369
276,ribeira brava,32.65,-17.0667,21.35,82,62,3.86,PT,1682004370
277,dapaong,10.8639,0.205,39.18,19,52,2.51,TG,1682004370
278,brookings,44.3114,-96.7984,2.32,96,100,4.63,US,1682004370
279,nagqu,31.5,92.0,2.62,48,98,8.04,CN,1682004371
280,gasteiz / vitoria,42.85,-2.6667,21.86,40,0,5.36,ES,1682004371
281,mount pearl,47.5166,-52.7813,4.92,94,100,8.23,CA,1682004371
282,kochubeyevskoye,44.6442,41.8453,13.86,85,100,6.23,RU,1682004372
283,acapulco de juarez,16.8634,-99.8901,27.9,69,40,2.06,MX,1682004372
284,constantia,44.1833,28.65,11.5,77,99,6.71,RO,1682004372
285,gurjaani,41.7429,45.8011,20.54,52,27,0.65,GE,1682004372
286,sandnessjoen,66.0217,12.6316,10.29,91,75,7.2,NO,1682004372
287,labytnangi,66.6572,66.4183,-0.57,95,98,4.19,RU,1682004373
288,waingapu,-9.6567,120.2641,24.22,76,7,3.78,ID,1682004373
289,queenstown,-31.8976,26.8753,21.66,34,100,14.32,ZA,1682004373
290,san luis de la loma,17.2706,-100.8939,32.65,20,67,1.61,MX,1682004373
291,new norfolk,-42.7826,147.0587,15.72,77,100,0.89,AU,1682004374
292,khandyga,62.6667,135.6,-10.71,97,57,0.9,RU,1682004374
293,hithadhoo,-0.6,73.0833,28.69,72,99,2.65,MV,1682004374
294,olonets,60.9847,32.9698,3.29,97,98,1.94,RU,1682004374
295,wenzhou,27.9994,120.6668,19.9,86,100,0.97,CN,1682004375
296,arraial do cabo,-22.9661,-42.0278,26.98,61,20,10.8,BR,1682004375
297,portland,45.5234,-122.6762,5.61,89,100,5.14,US,1682004268
298,machico,32.7,-16.7667,21.35,79,40,8.75,PT,1682004375
299,ancud,-41.8697,-73.8203,12.07,92,100,1.61,CL,1682004376
300,quellon,-43.1167,-73.6167,12.14,87,75,2.06,CL,1682004376
301,rustaq,23.3908,57.4244,28.73,34,85,2.62,OM,1682004376
302,suva,-18.1416,178.4415,23.71,100,40,0.0,FJ,1682004377
303,fort bragg,35.139,-79.006,27.47,33,0,4.63,US,1682004377
304,codrington,-38.2667,141.9667,12.88,95,100,2.95,AU,1682004377
305,praia da vitoria,38.7333,-27.0667,18.14,72,40,9.64,PT,1682004258
306,galeana,24.8333,-100.0667,23.6,24,87,1.82,MX,1682004378
307,forbes,-33.3833,148.0167,12.73,75,0,2.21,AU,1682004378
308,belmonte,-15.8631,-38.8828,33.73,53,31,3.33,BR,1682004379
309,balabac,7.9868,117.0645,27.19,82,41,1.42,PH,1682004379
310,mangai,-4.05,19.5333,27.55,67,100,0.56,CD,1682004379
311,reggane,26.7158,0.1714,34.45,11,0,7.29,DZ,1682004379
312,jinsha,32.0898,121.0735,17.77,93,0,2.85,CN,1682004380
313,kavaratti,10.5669,72.642,29.05,69,10,2.65,IN,1682004380
314,caleta de carquin,-11.0925,-77.6267,24.16,78,92,3.73,PE,1682004380
315,tughyl,47.7252,84.2063,2.39,48,34,2.88,KZ,1682004381
316,springs,-26.25,28.4,21.43,50,3,4.4,ZA,1682004381
317,inirida,3.8653,-67.9239,26.45,80,98,2.02,CO,1682004381
318,mil'kovo,55.6078,37.7956,16.34,41,64,4.34,RU,1682004381
319,selfoss,63.9331,-20.9971,10.22,67,9,4.62,IS,1682004382
320,forster,-32.1667,152.5167,14.52,95,100,6.28,AU,1682004382
321,rosario do sul,-30.2583,-54.9142,18.46,44,0,3.64,BR,1682004382
322,manadhoo,5.7667,73.3833,28.5,68,12,0.89,MV,1682004382
323,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1682004383
324,lesnoy,57.6198,63.0784,5.07,86,81,3.33,RU,1682004383
325,bozuyuk,39.9078,30.0367,12.19,64,85,4.29,TR,1682004383
326,mbaiki,3.8678,17.9892,31.43,49,90,1.97,CF,1682004383
327,korla,41.7597,86.1469,12.24,46,72,3.01,CN,1682004384
328,sitka,57.0531,-135.33,5.94,75,40,1.54,US,1682004384
329,leava,-14.3,-178.1667,27.77,79,25,4.54,WF,1682004384
330,palmer,42.1584,-72.3287,12.89,46,20,2.06,US,1682004384
331,imbituba,-28.24,-48.6703,19.92,39,0,2.37,BR,1682004385
332,yuzhno-kurilsk,44.0306,145.8556,4.94,95,100,5.7,RU,1682004385
333,urangan,-25.3,152.9,21.92,77,60,8.91,AU,1682004385
334,camana,-16.6228,-72.7111,25.04,59,18,2.68,PE,1682004385
335,naze,28.3667,129.4833,20.51,95,100,1.18,JP,1682004386
336,gojra,31.1487,72.6866,23.69,42,23,4.53,PK,1682004386
337,kill devil hills,36.0307,-75.676,26.0,49,0,4.12,US,1682004386
338,xilin hot,43.9667,116.0333,2.29,15,100,4.31,CN,1682004387
339,samana,19.2056,-69.3369,29.12,74,40,3.6,DO,1682004387
340,nyrob,60.733,56.7202,4.55,84,99,3.28,RU,1682004387
341,torquay,50.4638,-3.5143,15.71,58,2,1.79,GB,1682004387
342,kandahar,31.0,65.75,20.66,14,0,3.44,AF,1682004388
343,china,25.7,-99.2333,26.24,72,86,4.27,MX,1682004388
344,boende,-0.2167,20.8667,34.02,43,83,0.87,CD,1682004388
345,port douglas,-16.4833,145.4667,24.5,80,17,4.92,AU,1682004388
346,seymour,38.9592,-85.8903,23.42,44,100,2.24,US,1682004313
347,ipora,-16.4419,-51.1178,24.96,62,20,4.55,BR,1682004389
348,eduardo castex,-35.915,-64.2945,24.19,33,30,7.09,AR,1682004311
349,labrador city,52.9463,-66.9114,0.95,75,100,2.57,CA,1682004389
350,waraseoni,21.75,80.0333,29.34,37,100,6.43,IN,1682004389
351,tlalixtac de cabrera,17.0667,-96.65,17.68,72,20,0.0,MX,1682004390
352,gamba,-2.65,10.0,28.36,75,100,3.96,GA,1682004390
353,linhares,-19.3911,-40.0722,34.83,44,16,1.95,BR,1682004115
354,mirny,62.5353,113.9611,-15.21,97,96,1.42,RU,1682004391
355,nogliki,51.8333,143.1667,-0.97,95,100,6.85,RU,1682004391
356,palmas,-10.2128,-48.3603,31.93,58,40,2.57,BR,1682004180
357,narrabri,-30.3167,149.7833,16.4,83,17,1.34,AU,1682004391
358,brooks,50.5834,-111.8851,-2.76,86,100,3.6,CA,1682004392
359,walvis bay,-22.9575,14.5053,18.94,76,13,10.52,NA,1682004392
360,el porvenir,13.7617,-87.3458,26.63,40,100,1.51,HN,1682004392
361,hamilton,39.1834,-84.5333,23.97,46,100,6.17,US,1682004392
362,san antonio de pale,-1.4014,5.6325,26.86,79,76,3.29,GQ,1682004393
363,al muwayh,22.4333,41.7583,28.61,27,0,2.66,SA,1682004393
